epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
12,8227.46,2.73288,2.43877,1.85632,0.9252,0.60476,0.68532,0.53125,1.87372,2.22396,1.87659,0.000111071,0.000111071,0.000111071
13,8973.62,2.45794,2.25278,1.76933,0.73084,0.64429,0.63143,0.48831,1.83032,2.05119,1.86521,7.57143e-05,7.57143e-05,7.57143e-05
14,9767.62,2.51486,2.1456,1.81526,0.72504,0.625,0.59747,0.47175,1.7394,2.11618,1.84752,4.03571e-05,4.03571e-05,4.03571e-05
1,694.84,2.72949,1.99489,1.80792,0.77039,0.45833,0.50912,0.40497,1.61891,2.45767,1.88348,0.000161905,0.000161905,0.000161905
2,1394.02,2.63965,2.07085,1.77676,0.58911,0.809,0.67718,0.48923,1.87211,2.30019,1.90478,0.000317729,0.000317729,0.000317729
3,2079.9,2.71301,1.93129,1.77325,0.58748,0.5894,0.71794,0.54245,1.92037,2.79325,2.05475,0.000462552,0.000462552,0.000462552
4,2756.69,2.72355,1.79087,1.78877,0.72324,0.48924,0.65991,0.43337,2.14907,2.74889,2.14834,0.0004505,0.0004505,0.0004505
5,3434.55,2.71587,1.89862,1.78588,0.91197,0.44836,0.60366,0.44392,1.70785,2.46612,1.82842,0.000434,0.000434,0.000434
6,4116.52,2.61976,1.76994,1.76798,0.81047,0.65359,0.63603,0.47413,1.66123,2.23019,1.82438,0.0004175,0.0004175,0.0004175
7,4801.01,2.65239,1.64443,1.74917,0.92464,0.52377,0.8045,0.59088,1.56754,2.26021,1.83495,0.000401,0.000401,0.000401
8,5480.67,2.54521,1.57443,1.72123,0.965,0.625,0.86795,0.64272,1.67634,1.60812,1.87383,0.0003845,0.0003845,0.0003845
9,6157.56,2.61892,1.64133,1.7522,0.59343,1,0.93144,0.7166,1.74118,1.68072,1.86389,0.000368,0.000368,0.000368
10,6837.3,2.53261,1.48421,1.73712,0.47469,1,0.79156,0.55662,1.77971,1.62434,1.88702,0.0003515,0.0003515,0.0003515
11,7525.12,2.49558,1.50444,1.71833,0.58079,0.83333,0.76047,0.58264,1.67961,1.61576,1.86639,0.000335,0.000335,0.000335
12,8205.79,2.45819,1.45364,1.72312,0.6697,0.83333,0.8125,0.65183,1.45056,1.31266,1.75665,0.0003185,0.0003185,0.0003185
13,8886.8,2.35205,1.35497,1.70648,0.7001,0.83333,0.895,0.74084,1.5037,1.2889,1.7917,0.000302,0.000302,0.000302
14,9565.82,2.29807,1.32587,1.70139,0.63387,0.81265,0.80324,0.63566,1.32085,1.52503,1.74931,0.0002855,0.0002855,0.0002855
15,10243.7,2.41169,1.31342,1.70462,0.65303,1,0.796,0.60583,1.3885,1.08529,1.75585,0.000269,0.000269,0.000269
16,10924.7,2.31447,1.22829,1.70716,0.64826,0.8971,0.82917,0.64872,1.33301,1.05738,1.73994,0.0002525,0.0002525,0.0002525
17,11607.4,2.28938,1.19231,1.69525,0.68341,0.96255,0.93944,0.77701,1.33839,1.12603,1.74166,0.000236,0.000236,0.000236
18,12285.1,2.28062,1.20991,1.70507,0.88219,0.96959,0.995,0.80529,1.27592,0.97034,1.71915,0.0002195,0.0002195,0.0002195
19,12961.4,2.12255,1.1488,1.66005,0.85298,0.97462,0.995,0.85091,1.12624,0.80038,1.68761,0.000203,0.000203,0.000203
20,13639.5,2.16224,1.10761,1.65572,0.91572,0.94336,0.995,0.84875,1.17072,0.70144,1.70093,0.0001865,0.0001865,0.0001865
21,14317,2.10536,1.03914,1.68671,0.94372,0.98355,0.995,0.83324,1.41932,0.79473,1.73302,0.00017,0.00017,0.00017
22,14994.9,2.05923,1.06999,1.66722,0.93704,0.98367,0.995,0.83419,1.26151,0.75775,1.71367,0.0001535,0.0001535,0.0001535
23,15670.2,2.03852,0.93442,1.64011,0.9487,0.9499,0.995,0.84105,1.14936,0.80373,1.68674,0.000137,0.000137,0.000137
24,16348.6,1.98826,0.93921,1.64738,0.9762,0.99914,0.995,0.86591,1.0632,0.66649,1.66115,0.0001205,0.0001205,0.0001205
25,17027.1,1.96382,0.90181,1.65091,0.96715,0.97601,0.995,0.85389,1.02981,0.65093,1.66649,0.000104,0.000104,0.000104
26,17706.9,1.92455,0.92219,1.64736,0.98207,1,0.995,0.87555,1.01935,0.60981,1.66589,8.75e-05,8.75e-05,8.75e-05
27,18391.2,1.94451,0.90915,1.65418,0.97886,0.98075,0.995,0.86557,1.02612,0.67067,1.66104,7.1e-05,7.1e-05,7.1e-05
28,19069,1.86872,0.84954,1.63258,0.9767,1,0.995,0.88911,0.93952,0.6206,1.6404,5.45e-05,5.45e-05,5.45e-05
29,19744.8,1.88485,0.87911,1.61451,0.97629,1,0.995,0.89436,0.9115,0.59877,1.63379,3.8e-05,3.8e-05,3.8e-05
30,20422.3,1.82475,0.84606,1.63764,0.97822,1,0.995,0.90548,0.87574,0.62008,1.62802,2.15e-05,2.15e-05,2.15e-05
1,679.295,1.93651,0.88531,1.66354,0.96369,0.97756,0.995,0.86816,0.95991,0.7093,1.64909,0.00013,0.00013,0.00013
2,1339.1,1.98999,0.97854,1.63865,0.97527,1,0.995,0.84699,1.19565,0.94618,1.76309,0.000250425,0.000250425,0.000250425
3,1994.49,2.10648,1.09126,1.65712,0.78645,0.96141,0.995,0.8312,1.20423,0.98377,1.71966,0.000356,0.000356,0.000356
4,2650.64,2.05266,1.00879,1.6462,0.90368,0.99164,0.995,0.85963,1.1683,1.08684,1.68103,0.0004175,0.0004175,0.0004175
5,3306.79,2.14116,1.04923,1.66995,0.93961,0.97171,0.97648,0.82839,1.07282,1.07717,1.66835,0.00039,0.00039,0.00039
6,3962.46,2.25428,1.15155,1.66805,0.889,0.88573,0.995,0.82904,1.45458,1.47199,1.76606,0.0003625,0.0003625,0.0003625
7,4618.12,2.13315,1.07945,1.66048,0.86315,0.94956,0.98158,0.81717,1.28948,1.3268,1.72616,0.000335,0.000335,0.000335
8,5271.59,2.1156,1.07746,1.65428,0.93587,0.9224,0.995,0.86128,1.19077,1.08613,1.68636,0.0003075,0.0003075,0.0003075
9,5925.92,1.99667,1.00393,1.66866,0.87222,1,0.995,0.80763,1.23,0.96545,1.6945,0.00028,0.00028,0.00028
10,6581.83,2.04326,0.98947,1.65538,0.8321,1,0.995,0.80833,1.18764,0.94903,1.68939,0.0002525,0.0002525,0.0002525
